state,county,urban_share,population_2010,avg_poverty_rate,avg_median_family_income,low_income_tracts_count,lila_1_10_count,lila_half_10_count,lila_1_20_count,total_housing_units_no_vehicle,total_snap_households,tract_count,geo_id,county_name,total_population,male_population,female_population,median_age,poverty_rate,median_income,bphigh,csmoking,diabetes,lpa,obesity,pct_diabetes_adults19,pct_obese_adults22,povrate21
california,alameda,0.9833333333333332,1510271,11.17972222222222,112434.35277777778,151,11,83,11,54816.0,37448.0,360,0500000US06001,"Alameda County, California",1651949,819520,832429,38.7,9.2,126240.0,27.5,9.25,10.55,20.35,22.65,7.1,28.1,9.4
california,alpine,0.0,1175,19.8,82813.0,0,0,0,0,18.0,35.0,1,0500000US06003,"Alpine County, California",1695,885,810,41.1,12.3,110781.0,31.8,11.3,10.05,18.7,28.55,7.4,28.1,15.8
california,amador,0.0,38091,10.233333333333333,74668.22222222222,1,0,0,0,773.0,1059.0,9,0500000US06005,"Amador County, California",41029,22409,18620,49.9,7.8,81526.0,33.45,12.3,10.2,21.6,29.55,8.2,28.1,11.1
california,butte,0.7450980392156863,220000,20.84705882352941,65151.58823529412,33,14,26,14,6232.0,10360.0,51,0500000US06007,"Butte County, California",209470,104228,105242,36.3,18.3,68574.0,31.35,13.35,10.3,22.75,29.950000000000003,7.4,28.1,16.6
california,calaveras,0.2,45578,12.01,74331.2,2,0,0,0,431.0,1502.0,10,0500000US06009,"Calaveras County, California",45995,22864,23131,52.0,13.4,79877.0,33.0,13.65,11.15,23.5,29.8,7.0,28.1,13.5
california,colusa,0.4,21419,13.5,63739.4,2,1,1,1,386.0,1083.0,5,0500000US06011,"Colusa County, California",21895,11300,10595,35.7,10.8,75149.0,30.8,13.45,12.8,30.05,35.15,7.2,28.1,11.4
california,contra costa,0.9758454106280192,1049025,9.103381642512078,116054.28985507246,83,15,64,15,21438.0,25060.0,207,0500000US06013,"Contra Costa County, California",1161458,571170,590288,40.3,8.3,125727.0,29.35,9.3,10.45,23.2,27.9,8.7,28.1,8.8
california,del norte,0.5714285714285714,28610,25.442857142857143,51539.857142857145,4,2,4,1,942.0,1692.0,7,0500000US06015,"Del Norte County, California",27293,14851,12442,40.8,11.6,66780.0,33.4,15.05,11.35,24.9,30.95,7.7,28.1,21.4
california,el dorado,0.4761904761904761,181058,9.342857142857142,97864.07142857143,6,2,4,2,2850.0,4217.0,42,0500000US06017,"El Dorado County, California",192299,96171,96128,46.1,8.3,106190.0,30.05,10.5,9.4,18.7,27.55,7.3,28.1,8.8
california,fresno,0.8542713567839196,930450,24.443718592964824,61268.97487437186,131,27,100,25,25805.0,61296.0,199,0500000US06019,"Fresno County, California",1012152,507316,504836,33.2,18.7,71434.0,31.55,13.3,12.55,30.95,37.8,11.0,28.1,19.4
