osm_id,code,fclass,name,geometry
150943454,2501,supermarket,California Oranges,POINT (-118.8280675 36.1012355)
212435197,2501,supermarket,Trader Joe's,POINT (-122.252612 37.8455422)
262936489,2501,supermarket,Lunardi's,POINT (-122.3849757 37.5945434)
266625620,2505,department_store,dd's Discounts,POINT (-122.0262864 37.3612614)
266630158,2501,supermarket,India Cash & Carry,POINT (-122.0056924 37.3513957)
266630161,2501,supermarket,Kumud Groceries,POINT (-122.0041823 37.3529854)
267618168,2511,convenience,,POINT (-122.3492848 37.5811296)
276558029,2511,convenience,Walgreens,POINT (-122.364388 37.5868207)
276563232,2501,supermarket,Lucky,POINT (-122.387455 37.5966691)
281870076,2511,convenience,Tresidder Marketplace,POINT (-122.171109 37.4244304)
286081303,2511,convenience,Shattuck Market,POINT (-122.267112 37.8650305)
290364717,2501,supermarket,Redwood Valley Market,POINT (-123.2043748 39.2648392)
293632937,2501,supermarket,Safeway,POINT (-122.3940709 37.7767776)
297818479,2511,convenience,7-Eleven,POINT (-122.303105 37.5547005)
297818716,2505,department_store,Ross,POINT (-122.3046329 37.5535845)
305597766,2501,supermarket,Nijiya Market,POINT (-122.3111453 37.5483584)
309331540,2501,supermarket,FoodMaxx,POINT (-121.998114 37.3539748)
310973094,2511,convenience,7-Eleven,POINT (-122.242103 37.7673947)
310973114,2501,supermarket,Alameda Natural Grocery,POINT (-122.2396875 37.7676863)
314151916,2501,supermarket,Andronico’s,POINT (-122.0968991 37.3607935)
314507874,2501,supermarket,Lucky,POINT (-123.2015312 39.1523364)
315635600,2501,supermarket,Windmill Market,POINT (-121.5351038 36.8411133)
316509283,2505,department_store,Big Lots,POINT (-121.560848 37.000353)
318539518,2511,convenience,Neil's Super Market,POINT (-121.5397885 36.8451236)
318886219,2511,convenience,7Palms,POINT (-122.2601951 37.8759462)
322989276,2511,convenience,Quest Mart,POINT (-123.2083563 39.1595488)
331090668,2511,convenience,Sun Valley Market,POINT (-121.648145 37.1214767)
331093436,2511,convenience,ampm,POINT (-121.6649491 37.1443375)
332111900,2501,supermarket,Cardenas,POINT (-121.5830607 37.0144001)
332112939,2501,supermarket,Nob Hill Foods,POINT (-121.5850776 37.0144)
332115052,2505,department_store,Sears Hometown,POINT (-121.5880736 37.0144226)
332492334,2511,convenience,Frinds Food N Liquor,POINT (-121.5622614 37.0023836)
332787306,2501,supermarket,Calmart,POINT (-122.4528047 37.786265)
340151571,2501,supermarket,Lucky,POINT (-122.0231979 37.5675185)
340311739,2511,convenience,Quik Stop,POINT (-121.576822 37.0197636)
343317788,2501,supermarket,Trader Joe's,POINT (-122.2995747 37.8988539)
343600298,2501,supermarket,Sprouts Farmers Market,POINT (-122.0302442 37.3675387)
345476776,2505,department_store,Ross,POINT (-122.096088 37.4194476)
346427267,2501,supermarket,99 Ranch Market,POINT (-122.076577 37.377664)
356578447,2501,supermarket,Tahoma Market and Deli,POINT (-120.130964 39.0685632)
357522348,2501,supermarket,Trader Joe's,POINT (-121.9324361 37.2882737)
357524353,2501,supermarket,Whole Foods Market,POINT (-121.9306159 37.2929549)
357600882,2501,supermarket,Nijiya Market,POINT (-122.0714464 37.3786706)
358763951,2501,supermarket,Kearney Palms Shopping Mall,POINT (-119.801533 36.7313378)
360462977,2511,convenience,Angel's Deli & Market,POINT (-122.4336596 37.7482363)
360463705,2511,convenience,Modern Market,POINT (-122.4269955 37.7484143)
363915431,2501,supermarket,Trader Joe's,POINT (-122.2443754 37.8099099)
365763046,2501,supermarket,Raley's,POINT (-120.0057267 38.9120046)
366352409,2511,convenience,The Den,POINT (-122.2563906 37.8669533)
373374203,2501,supermarket,Trader Joe's,POINT (-121.909507 37.3410206)
375960001,2511,convenience,Stinson Beach Market,POINT (-122.6399319 37.8987196)
384359194,2511,convenience,Star Market,POINT (-122.4146585 37.7864444)
385009952,2501,supermarket,Trader Joe's,POINT (-122.395901 37.6038042)
386843084,2501,supermarket,Pass Farmers Market,POINT (-121.4195769 36.9709942)
386909017,2505,department_store,Burlington,POINT (-121.559197 37.0004496)
387227570,2511,convenience,North Point Market,POINT (-122.4235144 37.8052324)
389391020,2505,department_store,Ross,POINT (-122.4055238 37.7857172)
389404007,2501,supermarket,Whole Foods Market,POINT (-122.3997789 37.7811499)
392774069,2511,convenience,Los Lomas Market,POINT (-121.7344735 36.8651453)
395031702,2505,department_store,Ross,POINT (-122.0284718 36.9838459)
